fit_name,response_model,predictor_set,predictor,target,scale,mean,median,sd,lower_95,upper_95,probability_positive,probability_negative,probability_direction
M3_block_alpha_stickiness__attachment_dimensions,M3_block_alpha_stickiness,attachment_dimensions,anxiety,relative_difference_alpha_change_per_1SD,difference in raw alpha,-0.01678198985817815,-0.0169824975,0.09239995093530742,-0.20061718325,0.16857418174999994,0.4225,0.5775,0.5775
M3_block_alpha_stickiness__attachment_dimensions,M3_block_alpha_stickiness,attachment_dimensions,anxiety,relative_difference_log_alpha_change_per_1SD,difference in log(alpha),-0.14051420953044017,-0.137660855,0.39924986496720594,-0.9175322459999999,0.6379705464999998,0.3581666666666667,0.6418333333333334,0.6418333333333334
M3_block_alpha_stickiness__attachment_dimensions,M3_block_alpha_stickiness,attachment_dimensions,anxiety,relative_difference_logit_alpha,difference in logit(alpha),-0.15444703064153167,-0.14891986000000001,0.5201592919596919,-1.1655216425000001,0.8594827502499999,0.38033333333333336,0.6196666666666667,0.6196666666666667
M3_block_alpha_stickiness__attachment_dimensions,M3_block_alpha_stickiness,attachment_dimensions,anxiety,stable_alpha_change_per_1SD,raw alpha,0.03885600986235767,0.031049109499999998,0.05878276395613358,-0.05799744532500001,0.17674402524999985,0.7408333333333333,0.25916666666666666,0.7408333333333333
M3_block_alpha_stickiness__attachment_dimensions,M3_block_alpha_stickiness,attachment_dimensions,anxiety,stable_logit_alpha,logit(alpha),0.24308498940653434,0.249324715,0.3735749007608541,-0.49475091350000006,0.9610017557499997,0.7408333333333333,0.25916666666666666,0.7408333333333333
M3_block_alpha_stickiness__attachment_dimensions,M3_block_alpha_stickiness,attachment_dimensions,anxiety,volatile_alpha_change_per_1SD,raw alpha,0.022074020038622334,0.015423268,0.07316883547279006,-0.10836812675,0.18116697674999999,0.5918333333333333,0.4081666666666667,0.5918333333333333
M3_block_alpha_stickiness__attachment_dimensions,M3_block_alpha_stickiness,attachment_dimensions,anxiety,volatile_logit_alpha,logit(alpha),0.08863795868666334,0.08522779850000001,0.3725626438455808,-0.6390680747499999,0.8108322824999994,0.5918333333333333,0.4081666666666667,0.5918333333333333
M3_block_alpha_stickiness__attachment_dimensions,M3_block_alpha_stickiness,attachment_dimensions,avoidance,relative_difference_alpha_change_per_1SD,difference in raw alpha,-0.05835888174955297,-0.0566349055,0.08247455084701832,-0.22599499825,0.09872060565,0.22783333333333333,0.7721666666666667,0.7721666666666667
M3_block_alpha_stickiness__attachment_dimensions,M3_block_alpha_stickiness,attachment_dimensions,avoidance,relative_difference_log_alpha_change_per_1SD,difference in log(alpha),-0.27282946950164416,-0.27220405999999997,0.41265082967605166,-1.081287295,0.5381056812499995,0.2495,0.7505,0.7505
M3_block_alpha_stickiness__attachment_dimensions,M3_block_alpha_stickiness,attachment_dimensions,avoidance,relative_difference_logit_alpha,difference in logit(alpha),-0.350312952196924,-0.34766625500000004,0.5129789139824527,-1.3518523674999998,0.6567537637499992,0.2485,0.7515,0.7515
M3_block_alpha_stickiness__attachment_dimensions,M3_block_alpha_stickiness,attachment_dimensions,avoidance,stable_alpha_change_per_1SD,raw alpha,0.016743709087138167,0.009817580400000001,0.053870659493038035,-0.07350843124999999,0.14496992825,0.5981666666666666,0.4018333333333333,0.5981666666666666
M3_block_alpha_stickiness__attachment_dimensions,M3_block_alpha_stickiness,attachment_dimensions,avoidance,stable_logit_alpha,logit(alpha),0.08530983684796617,0.0858853225,0.373809834210461,-0.640719323,0.8265011189999997,0.5981666666666666,0.4018333333333333,0.5981666666666666
M3_block_alpha_stickiness__attachment_dimensions,M3_block_alpha_stickiness,attachment_dimensions,avoidance,volatile_alpha_change_per_1SD,raw alpha,-0.04161517265377343,-0.0436163385,0.0646507317454845,-0.1646897335,0.09425893105,0.24,0.76,0.76
M3_block_alpha_stickiness__attachment_dimensions,M3_block_alpha_stickiness,attachment_dimensions,avoidance,volatile_logit_alpha,logit(alpha),-0.2650031152339425,-0.26425889,0.37095725753414405,-0.99436616125,0.45537580899999974,0.24,0.76,0.76
M3_block_alpha_stickiness__attachment_insecurity,M3_block_alpha_stickiness,attachment_insecurity,insecurity,relative_difference_alpha_change_per_1SD,difference in raw alpha,-0.054992212311829,-0.054106381499999995,0.08805108462642203,-0.23159162300000002,0.11806108049999993,0.25933333333333336,0.7406666666666667,0.7406666666666667
M3_block_alpha_stickiness__attachment_insecurity,M3_block_alpha_stickiness,attachment_insecurity,insecurity,relative_difference_log_alpha_change_per_1SD,difference in log(alpha),-0.28184686675296333,-0.27749205,0.4103526764977993,-1.081931815,0.52632994225,0.24483333333333332,0.7551666666666667,0.7551666666666667
M3_block_alpha_stickiness__attachment_insecurity,M3_block_alpha_stickiness,attachment_insecurity,insecurity,relative_difference_logit_alpha,difference in logit(alpha),-0.35284147296413,-0.35506024999999997,0.5212240287656079,-1.3647050775,0.6733118210000001,0.24983333333333332,0.7501666666666666,0.7501666666666666
M3_block_alpha_stickiness__attachment_insecurity,M3_block_alpha_stickiness,attachment_insecurity,insecurity,stable_alpha_change_per_1SD,raw alpha,0.03826741154772067,0.031496626,0.06099686653525784,-0.063378906825,0.17696526149999992,0.7255,0.2745,0.7255
M3_block_alpha_stickiness__attachment_insecurity,M3_block_alpha_stickiness,attachment_insecurity,insecurity,stable_logit_alpha,logit(alpha),0.235384514848222,0.238860835,0.38905352009132593,-0.5233341212500001,1.0085748425,0.7255,0.2745,0.7255
M3_block_alpha_stickiness__attachment_insecurity,M3_block_alpha_stickiness,attachment_insecurity,insecurity,volatile_alpha_change_per_1SD,raw alpha,-0.016724800739606,-0.019904544,0.06617135075692178,-0.14121339700000002,0.13029696224999998,0.37733333333333335,0.6226666666666667,0.6226666666666667
M3_block_alpha_stickiness__attachment_insecurity,M3_block_alpha_stickiness,attachment_insecurity,insecurity,volatile_logit_alpha,logit(alpha),-0.11745695820456167,-0.11538279,0.36401735901210536,-0.8320912215,0.6021034814999999,0.37733333333333335,0.6226666666666667,0.6226666666666667
M4_block_alpha_full_response__attachment_dimensions,M4_block_alpha_full_response,attachment_dimensions,anxiety,relative_difference_alpha_change_per_1SD,difference in raw alpha,-0.016231092940429768,-0.016715127,0.09345021205701681,-0.20402405750000002,0.16724098199999993,0.42883333333333334,0.5711666666666667,0.5711666666666667
M4_block_alpha_full_response__attachment_dimensions,M4_block_alpha_full_response,attachment_dimensions,anxiety,relative_difference_log_alpha_change_per_1SD,difference in log(alpha),-0.12614745767685334,-0.13122302,0.39342960514181596,-0.8961084960000001,0.6416888894999989,0.372,0.628,0.628
M4_block_alpha_full_response__attachment_dimensions,M4_block_alpha_full_response,attachment_dimensions,anxiety,relative_difference_logit_alpha,difference in logit(alpha),-0.14076178347463467,-0.141030035,0.5164879497249861,-1.1345059524999999,0.8499464662499999,0.3945,0.6055,0.6055
M4_block_alpha_full_response__attachment_dimensions,M4_block_alpha_full_response,attachment_dimensions,anxiety,stable_alpha_change_per_1SD,raw alpha,0.04161706601504082,0.0332730595,0.06279682064672336,-0.06402645995,0.1895941412499997,0.7505,0.2495,0.7505
